imagesize,8816,10929,,
gbos1936,293000,550000,636,9730
gbos1936,333000,550000,8095,9721
gbos1936,293000,595000,633,1259
gbos1936,333000,595000,8090,1247
gbos1936,313000,550000,4363,9725
gbos1936,333000,572000,8093,5593
gbos1936,293000,572000,632,5598
gbos1936,313000,595000,4361,1254
gbos1936,313000,572000,4362,5596
gbos1936,304000,563000,2682,7295
gbos1936,322000,563000,6042,7292
gbos1936,304000,585000,2684,3142
gbos1936,322000,585000,6041,3140
gbos1936,329000,575000,7346,5026
gbos1936,307000,559000,3244,8047
gbos1936,325000,561000,6601,7670
gbos1936,325000,566000,6601,6725
gbos1936,326000,560000,6787,7858

